| Question | Choices | Answer |
| --- | --- | --- |
| What is the main color of the person's leggings in the image? |A) Red |B) Blue |C) Black |D) Green |B. |
| What is the pattern on the person's leggings in the image? |A) Stripes |B) Polka dots |C) Diamonds |D) florals |C. |
| What is the pose of the person in the image? |A) Sitting |B) Standing |C) Dancing |D) Lying down |B. |
| What is the color of the background in the image? |A) Blue |B) White |C) Black |D) Grey |B. |
| What does the person's pose and attire in the image suggest? |A) Shyness |B) Confidence |C) Uncertainty |D) Boredom |B. |
| Is the image sexy? |A) No |B) Yes |C) Maybe |D) Not sure |B. |
| Does the image capture a moment of self-expression and confidence? |A) No |B) Yes |C) Maybe |D) Not sure |B. |
| Is the person's left hand on their hip in the image? |A) No |B) Yes |C) Maybe |D) Not sure |B. |
| Is the person's right hand resting on their thigh in the image? |A) No |B) Yes |C) Maybe |D) Not sure |B. |
| Does the image have a plain white background? |A) No |B) Yes |C) Maybe |D) Not sure |B. |
| How many hands are visible in the image? |A) 1 |B) 2 |C) 3 |D) 4 |B. |
| Is the person's attire in the image casual or formal? |A) Casual |B) Formal |C) Semi-formal |D) Athletic |A. |
| Does the image depict a moment of action or stillness? |A) Action |B) Stillness |C) Both |D) Not sure |B. |
| How would you describe the mood of the image? |A) Serious |B) Playful |C) Seductive |D) Mysterious |C. |
