| Question | Choices | Answer |
| --- | --- | --- |
| What is the person in the image wearing on their lower body? |A) A skirt |B) A pair of shorts |C) A dress |D) A pair of pants |B. |
| What is the color of the person's shorts? |A) Black |B) White |C) Olive green |D) Red |C. |
| What is the logo on the person's shorts? |A) A large logo on the front |B) A small logo on the left leg |C) A medium-sized logo on the back |D) No logo |B. |
| What is the person in the image wearing on their wrist? |A) A bracelet |B) A watch |C) A bangle |D) Nothing |B. |
| What is the focus of the image? |A) The person in the foreground |B) The building in the background |C) The glass window in the background |D) The person's attire |B. |
| Is the image intended to be sexy or provocative? |A) Yes |B) No |C) Maybe |D) It's hard to say |B. |
| What is the person in the image wearing on their lower body? |A. Pants |B. Shorts |C. Skirt |D. Dress |B. |
| What color is the person's watch? |A. White |B. Black |C. Silver |D. Gold |B. |
| What is the name of the label on the person's shorts? |A. JONG STUDIOS |B. NIKE |C. ADIDAS |D. PUMA |A. |
| What is the overall atmosphere of the image? |A. Formal |B. Casual |C. Sexy |D. Provocative |B. |
| How would you describe the exposure level of the image? |A. High |B. Medium |C. Low |D. None |C. |
