| Type of Question | Question | Answer |
| --- | --- | --- |
| Yes/No | Is the person in the image wearing a black t-shirt? | Yes. |
| Yes/No | Are the person's arms relaxed at their sides? | Yes. |
| Yes/No | Does the image contain any explicit or suggestive content? | No. |
| Yes/No | Are the person's legs slightly apart? | Yes. |
| Yes/No | Is the background of the image white? | Yes. |
| Yes/No | Does the person have black and white sneakers? | Yes. |
| What | What color are the person's sneakers? | Black and white. |
| What | What is the person's attire? | Black tshirt and khaki cargo shorts. |
| How | How are the person's arms positioned? | Relaxed at their sides. |
| How | How are the person's legs positioned? | Slightly apart. |
