| Type of Question | Question | Answer |
| --- | --- | --- |
| Yes/No | Is the person in the image smiling? | No. |
| Yes/No | Are the person's eyes visible in the image? | No. |
| Yes/No | Is the person's mouth open wide? | No. |
| Yes/No | Are the person's fingers inside their mouth? | Yes. |
| Yes/No | Is the person's facial expression neutral? | Yes. |
| Yes/No | Does the image have a sexy or seductive atmosphere? | Yes. |
| What | What is the person's facial expression? | Neutral. |
| What | What is the person doing with their fingers? | Resting one finger on their lips and the other on their tongue. |
| How | How are the person's fingers positioned inside their mouth? | One finger is resting on their lips and the other is on their tongue. |
| How | How does the image make the viewer feel? | Connected to the person and their emotions. |
