| Question | Choices | Answer |
| --- | --- | --- |
| What is the color of the wall in the image? |A. Blue |B. White |C. Black |D. Red |A. |
| How many items of clothing is the person wearing? |A. 2 |B. 3 |C. 4 |D. 5 |B. |
| What kind of shoes is the person wearing? |A. Boots |B. Sneakers |C. Sandals |D. Heels |B. |
| What is the pose of the person in the image? |A. Standing with both hands on hips |B. Kneeling with one hand on the ground |C. Standing with one hand on the door |D. Standing with one hand on the hip and one hand on the thigh |D. |
| How would you describe the mood of the image? |A. Serious |B. Playful |C. Confident |D. Angry |C. |
| Is the person's belly exposed in the image? |A. No |B. Yes |C. Partially |D. Not visible |B. |
| What is the color of the person's sports bra? |A. Blue |B. Black |C. White |D. Red |B. |
| Is the image sexy? |A. No |B. Yes |C. Not sure |D. Not applicable |B. |
| What is the main color of the person's leggings? |A. Black |B. White |C. Blue |D. Green |C. |
| What is the contrast between the person's sneakers and the room? |A. The sneakers are the same color as the room |B. The sneakers are a different color than the room |C. The sneakers are the same color as the door |D. The sneakers are a different color than the door |B. |
| Does the image convey a sense of self-expression? |A. No |B. Yes |C. Not sure |D. Not applicable |B. |
