| Question | Choices | Answer |
| --- | --- | --- |
| What is the gender of the person wearing a black shirt? |A. Male |B. Female |C. Non-binary |D. Agender |A. |
| How would you describe the atmosphere of the image? |A. Romantic and intimate |B. Happy and playful |C. Serious and formal |D. Dark and moody |A. |
| What is the woman wearing? |A. A black shirt |B. A white shirt |C. A red shirt |D. A blue shirt |B. |
| What is the man holding onto? |A. The woman's hand |B. The woman's waist |C. The woman's hair |D. The woman's shoulders |B. |
| How would you describe the couple's embrace? |A. Casual |B. Friendly |C. Passionate |D. Formal |C. |
| What is the color of the man's shirt? |A. White |B. Black |C. Gray |D. Blue |B. |
| How would you describe the couple's attire? |A. Casual |B. Formal |C. Semi-formal |D. Athletic |B. |
| What is the woman leaning into? |A. The man's chest |B. The man's shoulder |C. The man's kiss |D. The man's hug |C. |
| What is the man's hair color? |A. Blonde |B. Brown |C. Black |D. Red |C. |
| How would you describe the couple's facial expressions? |A. Serious |B. Happy |C. Neutral |D. Passionate |D. |
| What is the occasion or event depicted in the image? |A. A wedding |B. A date |C. A party |D. A formal event |D. |
