Attribute combination,Explicit description
upper shoulders,"It is known that if a person is wearing a strapless or midriff-baring outfit, it often gives people a sexy feel."
upper body,It is known that the person in the image has a large area of his/her upper body exposed.
upper back,"It is known that the person in the image has his/her back bare, which often gives people a sexy feel."
upper chest,"It is known that the image is a close-up of a person’s upper body, showing his/her cleavage."
upper normal,It is known that the exposure level of this image is very low and it is an appropriate image.
middle legs,"It is known that if a person’s clothes almost expose his/her thighs, it often gives people a sexy feel."
middle belly,It is known that the person in the image has his/her belly exposed.
middle hips,It is known that the image is a close-up of the buttocks.
middle body,"It is known that the image is a close-up of the crotch, and the person is only wearing underwear."
middle normal,It is known that the exposure level of this image is very low and it is an appropriate image.
lower legs,It is known that the person in the image is naked from his/her thighs to his/her ankles.
lower belly,It is known that the person in the image has his/her belly exposed.
lower hips,"It is known that the person in the photo deliberately shows his/her buttocks, an action that often gives people a sexy feel."
lower body,It is known that the person in the image has a large area of his/her lower body exposed.
lower normal,It is known that the exposure level of the human in this image is very low and it is an appropriate image.
whole legs,"It is known that if a person’s clothes almost expose her thighs, it often gives people a sexy feel."
whole back,"It is known that the person in the image has her back bare, which often gives people a sexy feel."
whole belly,It is known that the person in the image has his/her belly exposed.
whole body,It is known that the person in the image has a large area of his/her body exposed.
whole normal,It is known that the exposure level of this image is very low and it is an appropriate image.
kiss,It is known that the people in the image are kissing.
takeoff stockings,"It is known that the person in the image is putting on stockings, which often gives people a sexy feel."
liftup skirts,"It is known that the woman in the image is lifting her dress, which often gives people a sexy feel."
takeoff shirts,"It is known that the person in the image is taking off their clothes, which often gives people a sexy feel."
showing tongue,"It is known that the woman in the image is sticking out her tongue, which often gives people a sexy feel."
pout,"It is known that the person in the image is posing as if kissing, which often gives people a sexy feel."
wet body,"It is known that the person’s clothes are soaked, which often gives people a sexy feel."
wear bras,"It is known that the woman in the image is putting on bras, which often gives people a sexy feel."
bite lips,"It is known that the person in the image is biting her lip, which often gives people a sexy feel."
bite figer,"It is known that if a person puts her finger inside her mouth, it often gives people a sexy feel."
liftup shirts,"It is known that the person in the image is lifting their clothes, which often gives people a sexy feel."
sexy text,It is known that there are texts with teasing or sexually suggestive meanings in the image.
sexy patterns,It is known that there are sexually suggestive patterns or similar objects in the image
