| Question | Choices | Answer |
| --- | --- | --- |
| What is the main theme of the image? |A. Self-consciousness |B. Vulnerability |C. Sensuality |D. Self-expression |C. |
| What is the woman doing in the image? |A. Taking off her bra |B. Putting on her bra |C. Adjusting her bra straps |D. All of the above |B. |
| What type of bra is the woman wearing? |A. Sports bra |B. Lingerie bra |C. Everyday bra |D. Nursing bra |C. |
| What is the color of the bra? |A. Black |B. White |C. Red |D. Pink |B. |
| How does the image make the viewer feel? |A. Uncomfortable |B. Aroused |C. Empathetic |D. Indifferent |C. |
| What does the close-up perspective of the image suggest? |A. The woman is hiding something |B. The woman is showcasing something |C. The woman is feeling shy |D. The woman is feeling confident |B. |
| What can be inferred about the woman's emotions in the image? |A. She is feeling anxious |B. She is feeling confident |C. She is feeling sad |D. She is feeling frustrated |B. |
| What does the image invite the viewer to do? |A. Look away |B. Look closer |C. Ignore the woman's emotions |D. Imagine the woman's thoughts |B. |
| What is the overall mood of the image? |A. Gloomy |B. Playful |C. Sensual |D. Serious |C. |
| What does the bra represent in the image? |A. Confinement |B. Liberation |C. Self-expression |D. Oppression |C. |
| How does the image relate to the theme of self-care? |A. It doesn't relate |B. It shows the woman taking care of her appearance |C. It highlights the importance of self-intimacy |D. It suggests that self-care is unnecessary |C. |
