| Question | Choices | Answer |
| --- | --- | --- |
| What is the person in the image wearing? |A. One-piece swimsuit |B. Two-piece swimsuit |C. Cover-up |D. Activewear |B. |
| What is the color of the bikini? |A. Red |B. Blue |C. Green |D. Yellow |B. |
| What is the style of the bikini bottom? |A. High-waisted |B. Low-rise |C. Boyshorts |D. Bikini brief |A. |
| Where is the person in the image lying? |A. On a bed |B. On a couch |C. On a towel on the beach |D. On a picnic blanket |C. |
| What is the level of exposure in the image? |A. Low |B. Moderate |C. High |D. Very high |C. |
| What is the atmosphere of the image? |A. Serious |B. Playful |C. Seductive |D. Pure |C. |
| What is the likely intention of the image? |A. Fashion |B. Artistic |C. Advertising |D. Personal |D. |
| What is the emotion evoked by the image? |A. Anger |B. Sadness |C. Relaxation |D. Desire |D. |
| What is the dominant color in the image? |A. Red |B. Blue |C. Green |D. Yellow |B. |
| What is the theme of the image? |A. Summer |B. Beach |C. Fashion |D. Leisure |B. |
| What is the mood of the image? |A. Dark |B. Moody |C. Bright |D. Light |C. |
