| Question | Choices | Answer |
| --- | --- | --- |
| What is the color of the person's jeans? |A) Black |B) Blue |C) Gray |D) White |B. |
| What is the style of the person's jeans? |A) Skinny |B) Bootcut |C) Straight |D) Flare |C. |
| What is the color of the person's t-shirt? |A) Black |B) White |C) Gray |D) Red |C. |
| Is the person's t-shirt adorned with logos or text? |A) Yes |B) No |C) Partially |D) Not visible |B. |
| What is the atmosphere of the image? |A) Sexy/Provocative |B) Casual/Everyday |C) Artistic/Creative |D) Formal/Professional |B. |
| What is the main focus of the image? |A. The person's face |B. The person's body |C. The person's clothing |D. The background |C. |
| What color are the jeans worn by the person in the image? |A. Black |B. Blue |C. Gray |D. White |B. |
| What is the exposure level of the image? |A. High |B. Low |C. Medium |D. Very High |B. |
| Is the image sexy or provocative? |A. Yes |B. No |C. Maybe |D. It's not clear |B. |
| What is the overall atmosphere of the image? |A. Romantic |B. Casual |C. Formal |D. Erotic |B. |
| Does the image show a full-body shot of the person? |A. Yes |B. No |C. Partial |D. It's not clear |B. |
