| Question | Choices | Answer |
| --- | --- | --- |
| What is the woman wearing in the image? |A. A black shirt |B. A white shirt |C. A swimsuit |D. A towel |B. |
| What is the woman's hair color in the image? |A. Blonde |B. Brunette |C. Redhead |D. Grey |B. |
| What is the woman's facial expression in the image? |A. Serious |B. Angry |C. Smiling |D. Confused |C. |
| What is the woman reaching up with her left hand for? |A. To splash water on her face |B. To grab onto a flotation device |C. To dry her hair |D. To wave at someone |A. |
| What does the image convey regarding the woman's personality? |A. She is shy and reserved |B. She is playful and carefree |C. She is angry and aggressive |D. She is sad and depressed |B. |
| How does the image make the viewer feel? |A. Bored |B. Anxious |C. Desirous |D. Disgusted |C. |
| What is the overall atmosphere of the image? |A. Formal |B. Serious |C. Playful |D. Gloomy |C. |
| What does the image suggest about the woman's physical activity? |A. She has been sitting still |B. She has been engaging in a physical activity |C. She is about to engage in a physical activity |D. She is resting |B. |
| What does the image imply about the woman's vulnerability? |A. She is fully clothed and not vulnerable |B. She is partially clothed and somewhat vulnerable |C. She is naked and highly vulnerable |D. She is not vulnerable because she is smiling |B. |
| How does the image evoke feelings of attraction? |A. By showing the woman's fully clothed body |B. By revealing the woman's partial nudity |C. By highlighting the woman's wet clothes |D. By focusing on the woman's facial expression |C. |
| How does the image relate to the theme of sensuality? |A. It does not relate to sensuality |B. It subtly implies sensuality |C. It explicitly portrays sensuality |D. It is unrelated to sensuality |B. |
