| Question | Choices | Answer |
| --- | --- | --- |
| What is the person in the image wearing on their feet? |A) Black boots |B) White sneakers |C) Gray sneakers |D) Brown sandals |C. |
| What is the color of the person's shirt in the image? |A) Black |B) White |C) Gray |D) Blue |B. |
| How is the person positioned on the car hood in the image? |A) Lying down |B) Sitting up |C) Leaning against the windshield |D) Crossed legs |D. |
| What is the pattern on the car in the image? |A) Solid color |B) Stripes |C) Polka dots |D) Camouflage |D. |
| Is the image considered sexy? |A) Yes |B) No |C) Partially |D) It's hard to say |B. |
| Is the person in the image wearing black pants? |A) Yes |B) No |C) Partially |D) It's hard to say |A. |
| Is the car in the image painted in a non-standard color? |A) Yes |B) No |C) Partially |D) It's hard to say |A. |
| Does the image depict any explicit or suggestive content? |A) Yes |B) No |C) Partially |D) It's hard to say |B. |
| How many people are in the image? |A) 1 |B) 2 |C) 3 |D) 4 or more |A. |
| Is the image in black and white? |A) Yes |B) No |C) Partially |D) It's hard to say |B. |
| Is the person in the image smiling? |A) Yes |B) No |C) Partially |D) It's hard to say |B. |
