| Question | Choices | Answer |
| --- | --- | --- |
| What is the woman in the image doing? |A. Putting on a bra |B. Taking off a bra |C. Adjusting her clothing |D. Posing for a photograph |A. |
| What color is the bra the woman is wearing? |A. Black |B. White |C. Red |D. Blue |D. |
| How many objects are in the image? |A. One |B. Two |C. Three |D. Four |A. |
| Is the image in black and white or in color? |A. Black and white |B. Color |C. Sepia |D. Grayscale |B. |
| What emotion does the woman's facial expression convey? |A. Happiness |B. Sadness |C. Focus |D. Surprise |C. |
| Is the image indoors or outdoors? |A. Indoors |B. Outdoors |C. Unknown |D. Not applicable |A. |
| How would you describe the woman's body language? |A. Confident |B. Shy |C. Sensual |D. Casual |C. |
| What can be inferred about the woman's relationship status? |A. Single |B. In a relationship |C. Married |D. None of the above |D. |
| What can be inferred about the woman's personality? |A. Outgoing |B. Reserved |C. Confident |D. Playful |C. |
| How would you describe the overall mood of the image? |A. Serious |B. Flirtatious |C. Sensual |D. Casual |B. |
| What can be inferred about the woman's occupation? |A. Businesswoman |B. Artist |C. Model |D. None of the above |C. |
