| Type of Question | Question | Answer |
| --- | --- | --- |
| Yes/No | Is the person in the image sitting? | Yes. |
| Yes/No | Is the person wearing a black skirt? | Yes. |
| Yes/No | Are the person's legs crossed? | Yes. |
| Yes/No | Is the person looking off to the side? | Yes. |
| Yes/No | Are the strappy sandals black? | Yes. |
| Yes/No | Is the background plain white? | Yes. |
| What | What is the person sitting on? | A stool. |
| What | What color are the strappy sandals? | Black. |
| How | How are the person's legs positioned? | Crossed. |
| How | How is the person looking? | Off to the side. |
