| Question | Choices | Answer |
| --- | --- | --- |
| What is the person wearing? |A) A denim skirt |B) A dress |C) Shorts |D) A swimsuit |B. |
| How long is the skirt? |A) It's a floor-length skirt |B) It's a miniskirt |C) It's cropped at the knee |D) It's a maxi skirt |C. |
| What is the color of the skirt? |A) Black |B) Blue |C) Red |D) White |B. |
| Does the skirt have any unique details? |A) Yes, it has a frayed hem |B) No, it's a plain skirt |C) Yes, it has a pattern |D) Yes, it has ruffles |A. |
| How would you describe the person's pose? |A) Standing with their arms crossed |B) Sitting down |C) Standing with their legs apart |D) Standing against a white background |D. |
| What is the mood of the image? |A) Serious |B) Playful |C) Sensual |D) Angry |C. |
| What is the focus of the image? |A) The person's face |B) The person's body |C) The person's attire |D) The background |C. |
| Is there any text or other objects in the image? |A) Yes, there is text in the image |B) No, there are no other objects or text |C) Yes, there are other objects in the image |D) Yes, there is a caption |B. |
| How would you describe the overall style of the image? |A) Formal |B) Casual |C) Edgy |D) Vintage |B. |
| What is the person's skin tone? |A) Light |B) Medium |C) Dark |D) It's not visible in the image |C. |
| How would you describe the contrast between the person's skin tone and the background? |A) High contrast |B) Low contrast |C) Medium contrast |D) No contrast |A. |
