| Question | Choices | Answer |
| --- | --- | --- |
| What color are the leggings the person is wearing? |A) Black |B) Blue |C) Red |D) Green |B. |
| How would you describe the person's pose in the image? |A) Sitting |B) Standing |C) Lying down |D) Bending over |B. |
| What color are the heels the person is wearing? |A) Black |B) Blue |C) Red |D) White |B. |
| How would you describe the background of the image? |A) Busy |B) Patterned |C) Plain |D) Textured |C. |
| What emotion does the image convey? |A) Happiness |B) Confidence |C) Sexiness |D) Sensuality |B. |
| Is the image in black and white or in color? |A) Black and white |B) Color |C) Sepia |D) Monochrome |B. |
| How would you describe the contrast between the leggings and the heels in the image? |A) Subtle |B) Striking |C) Minimal |D) Nonexistent |B. |
| Does the image feature any accessories other than the heels? |A) Yes |B) No |C) Maybe |D) Not sure |B. |
| Can you describe the fit of the leggings in the image? |A) Loose |B) Tight |C) Baggy |D) Slim-fitting |B. |
| Is the person's belly exposed in the image? |A) No |B) Yes, partially |C) Yes, fully |D) Not sure |C. |
| How would you describe the person's facial expression in the image? |A) Serious |B) Smiling |C) Seductive |D) Confident |D. |
| How would you describe the overall mood of the image? |A) Serious |B) Playful |C) Sensual |D) Confident |D. |
