| Type of Question | Question | Answer |
| --- | --- | --- |
| Yes/No | Is the person in the image wearing black tights? | Yes. |
| Yes/No | Is the person in the image wearing a gray skirt? | Yes. |
| Yes/No | Are the person's legs bent at the knees? | Yes. |
| Yes/No | Are the person's feet resting on a wooden floor? | Yes. |
| Yes/No | Is the person putting on black stockings? | Yes. |
| Yes/No | Is the atmosphere of the image sexy? | Yes. |
| What | What is the person in the image putting on? | Black stockings. |
| What | What is the color of the person's tights? | Black. |
| How | How are the person's legs positioned? | Bent at the knees. |
| What | What is the texture of the floor that the person's feet are resting on? | Wooden. |
| Yes/No | Is the person in the image wearing black tights? | Yes. |
| Yes/No | Is the person in the image wearing a gray skirt? | Yes. |
| Yes/No | Are the person's legs bent at the knees? | Yes. |
| Yes/No | Are the person's feet resting on a wooden floor? | Yes. |
| Yes/No | Is the person putting on black stockings? | Yes. |
| Yes/No | Is the atmosphere of the image sexy? | Yes. |
| What | What is the person in the image putting on? | Black stockings. |
| What | What is the color of the person's tights? | Black. |
| How | How are the person's legs positioned? | Bent at the knees. |
| What | What is the surface that the person's feet are resting on? | Wooden floor. |
