| Question | Choices | Answer |
| --- | --- | --- |
| What is the woman doing in the image? |A. Opening a locker |B. Closing a locker |C. Lifting her dress |D. Putting on makeup |C. |
| What is the woman wearing? |A. A red dress |B. A pink dress |C. A black dress |D. A yellow dress |B. |
| What is the color of the woman's cardigan? |A. Black |B. White |C. Gray |D. Pink |B. |
| What is the woman's facial expression? |A. Smiling |B. Serious |C. Flirtatious |D. Surprised |C. |
| What is the mood of the image? |A. Sad |B. Angry |C. Sexy |D. Confused |C. |
| What is the approximate age of the woman in the image? |A. 20s |B. 30s |C. 40s |D. 50s |C. |
| What is the woman's body language? |A. Confident |B. Shy |C. Sensual |D. Powerful |A. |
| What is the height of the woman's heels? |A. Low |B. Medium |C. High |D. Very high |C. |
| What is the color of the locker? |A. Black |B. White |C. Gray |D. Pink |A. |
| Is there any suggestive content in the image? |A. No |B. Yes |C. Maybe |D. Not sure |B. |
| Is the image indoors or outdoors? |A. Outdoors |B. Indoors |C. Both |D. Not sure |B. |
