| Question | Choices | Answer |
| --- | --- | --- |
| What is the woman wearing on her lower body? |A) A green polka dot skirt |B) Black pants |C) A black skirt |D) A green skirt |A. |
| What is the woman wearing on her upper body? |A) A black sweater |B) A white shirt |C) A green sweater |D) A black jacket |A. |
| What is the woman holding in her right hand? |A) A black purse |B) A phone |C) A camera |D) A book |A. |
| What is the woman's left hand doing? |A) In her pocket |B) Holding a hat |C) Resting on her hip |D) Playing with her hair |A. |
| What is the condition of the street in the background? |A) Dry |B) Wet |C) Under construction |D) Crowded |B. |
| What is the atmosphere of the image? |A) Happy |B) Mysterious |C) Sensual |D) Serious |C. |
| What is the mood of the woman in the image? |A) Confident |B) Anxious |C) Bored |D) Sad |A. |
| What is the main color of the woman's outfit? |A) Green |B) Black |C) White |D) Red |A. |
| How many buildings are visible in the background? |A) One |B) Two |C) Three |D) Four |B. |
| What type of shoes is the woman wearing? |A) Sneakers |B) Sandals |C) Heels |D) Boots |C. |
| How would you describe the woman's stride? |A) Confident and relaxed |B) Rushed and anxious |C) Slow and deliberate |D) Unsteady and uncertain |A. |
