| Question | Choices | Answer |
| --- | --- | --- |
| What is the primary color of the woman's dress? |A) Black |B) White |C) Red |D) Blue |A. |
| What type of occasion does the woman's attire suggest? |A) Formal |B) Casual |C) Semi-formal |D) Athletic |A. |
| What is the woman holding in her hand? |A) A small clutch purse |B) A cell phone |C) A pair of sunglasses |D) A book |A. |
| What is the style of the woman's heels? |A) High heels |B) Flats |C) Wedges |D) Sneakers |A. |
| How would you describe the woman's pose in the image? |A) Seductive |B) Elegant |C) Casual |D) Playful |B. |
| What is the color of the woman's shoes? |A) Black |B) White |C) Red |D) Silver |A. |
| Is the image suggestive or explicit in any way? |A) Yes |B) No |C) Maybe |D) I'm not sure |B. |
| How would you describe the overall atmosphere of the image? |A) Dark and moody |B) Bright and playful |C) Clean and uncluttered |D) Busy and chaotic |C. |
| What is the length of the woman's skirt? |A) Mini |B) Mid-length |C) Maxi |D) Tea-length |B. |
| Is the woman's dress revealing or provocative? |A) Yes |B) No |C) Maybe |D) I'm not sure |B. |
| How many sheer panels does the woman's dress have? |A) 1 |B) 2 |C) 3 |D) 4 |A. |
