| Type of Question | Question | Answer |
| --- | --- | --- |
| Yes/No | Is the woman in the image wearing a black top? | Yes. |
| Yes/No | Are the woman's jeans blue? | Yes. |
| Yes/No | Is the woman's hair pulled back into a ponytail? | Yes. |
| Yes/No | Is the woman carrying a white purse? | Yes. |
| Yes/No | Are the buildings in the background taller than the trees? | No. |
| Yes/No | Is the woman's skin visible in the image? | No. |
| What | What color is the woman's top? | Black. |
| What | What is the woman carrying in her hand? | A white purse. |
| How | How is the woman's hair styled? | Pulled back into a ponytail. |
| How | How would you describe the atmosphere of the image? | Casual, everyday. |
